CALL_ID,CUSTOMER_ID,CC_REP_ID,CC_CALL_DT,CALL_TYPE
C0000500082,2518,200,2018-05-05 15:17:00.000,Neutral Call
C0000500083,2518,146,2018-05-05 15:26:00.000,Purchase
C0000500084,2522,117,2018-05-05 01:20:00.000,Neutral Call
C0000500085,2522,106,2018-05-06 07:27:00.000,Service Inquiry
C0000500086,2547,174,2018-03-13 08:25:00.000,Neutral Call
C0000500087,2552,190,2018-05-03 13:30:00.000,Neutral Call
C0000500088,2557,132,2018-04-13 05:34:00.000,Service Inquiry
C0000500089,2557,104,2018-04-13 05:39:00.000,Purchase
C0000500090,2626,138,2018-04-29 13:39:00.000,Service Inquiry
C0000500091,2631,152,2018-04-15 12:18:00.000,Service Inquiry
C0000500092,2631,164,2018-04-15 12:22:00.000,Purchase
C0000500093,2702,161,2018-05-04 22:00:00.000,Return Policy Inquiry
C0000500094,2702,180,2018-05-04 22:04:00.000,Neutral Call
C0000500095,2763,126,2018-05-09 22:48:00.000,Purchase
C0000500096,2821,116,2018-05-09 14:32:00.000,Neutral Call
C0000500097,2887,152,2018-03-25 22:39:00.000,Neutral Call
C0000500098,2956,185,2018-03-15 04:03:00.000,Neutral Call
C0000500099,3078,104,2018-03-18 01:52:00.000,Return Policy Inquiry
C0000500100,3127,156,2018-04-13 01:43:00.000,Service Inquiry
C0000500101,3127,150,2018-04-13 01:50:00.000,Neutral Call
C0000500102,3127,165,2018-04-22 11:32:00.000,Purchase
C0000500103,3144,100,2018-04-25 12:49:00.000,Return Policy Inquiry
C0000500104,3144,106,2018-04-26 19:50:00.000,Neutral Call
C0000500105,3144,142,2018-04-28 08:48:00.000,Purchase
C0000500106,3173,173,2018-03-24 05:34:00.000,Return Policy Inquiry
C0000500107,3191,181,2018-04-13 07:50:00.000,Neutral Call
C0000500108,3198,153,2018-03-17 09:56:00.000,Purchase
C0000500109,3209,166,2018-05-10 23:00:00.000,Neutral Call
C0000500110,3209,136,2018-05-10 23:06:00.000,Purchase
C0000500111,3221,176,2018-04-11 07:13:00.000,Return Policy Inquiry
C0000500112,3221,197,2018-04-11 07:20:00.000,Purchase
C0000500113,3326,121,2018-04-29 01:40:00.000,Neutral Call
C0000500114,3338,162,2018-04-22 05:24:00.000,Neutral Call
C0000500115,3377,195,2018-05-10 02:43:00.000,Service Inquiry
C0000500116,3377,148,2018-05-10 02:46:00.000,Return Policy Inquiry
C0000500117,3377,100,2018-05-10 02:50:00.000,Neutral Call
C0000500118,3469,100,2018-04-15 13:30:00.000,Purchase
C0000500119,3506,141,2018-05-05 22:19:00.000,Service Inquiry
C0000500120,3506,127,2018-05-05 22:20:00.000,Neutral Call
C0000500121,3506,112,2018-05-05 22:23:00.000,Return Policy Inquiry
C0000500122,3506,148,2018-05-10 23:57:00.000,Purchase
C0000500123,3507,196,2018-04-07 11:32:00.000,Neutral Call
C0000500124,3507,185,2018-04-08 17:36:00.000,Return Policy Inquiry
C0000500125,3507,115,2018-04-08 17:41:00.000,Service Inquiry
C0000500126,3546,151,2018-03-14 17:48:00.000,Neutral Call
C0000500127,3591,194,2018-05-01 08:35:00.000,Purchase
C0000500128,3632,113,2018-04-01 16:34:00.000,Service Inquiry
C0000500129,3632,178,2018-04-01 16:37:00.000,Neutral Call
C0000500130,3632,160,2018-04-01 16:42:00.000,Return Policy Inquiry
C0000500131,3632,108,2018-04-03 08:42:00.000,Purchase
C0000500132,3639,114,2018-04-22 11:07:00.000,Return Policy Inquiry
C0000500133,3639,138,2018-04-23 23:09:00.000,Neutral Call
C0000500134,3639,150,2018-04-29 17:30:00.000,Purchase
C0000500135,3647,135,2018-03-24 12:32:00.000,Neutral Call
C0000500136,3647,118,2018-03-24 12:36:00.000,Return Policy Inquiry
C0000500137,3647,104,2018-03-24 12:41:00.000,Purchase
C0000500138,3651,134,2018-04-25 17:34:00.000,Service Inquiry
C0000500139,3651,159,2018-04-25 17:38:00.000,Neutral Call
C0000500140,3703,159,2018-04-25 22:48:00.000,Neutral Call
C0000500141,3798,193,2018-03-22 09:50:00.000,Neutral Call
C0000500142,3849,118,2018-04-02 04:50:00.000,Neutral Call
C0000500143,3849,174,2018-04-03 13:57:00.000,Return Policy Inquiry
C0000500144,3900,119,2018-03-15 10:28:00.000,Service Inquiry
C0000500145,3900,191,2018-03-16 18:30:00.000,Neutral Call
C0000500146,3900,198,2018-03-19 06:04:00.000,Purchase
C0000500147,3916,122,2018-03-22 16:30:00.000,Service Inquiry
C0000500148,3916,186,2018-03-22 16:47:00.000,Neutral Call
C0000500149,3916,108,2018-03-24 02:20:00.000,Purchase
C0000500150,3922,117,2018-03-25 03:11:00.000,Neutral Call
C0000500151,3922,137,2018-03-27 20:23:00.000,Purchase
C0000500152,3936,139,2018-03-14 16:14:00.000,Service Inquiry
C0000500153,3936,176,2018-03-14 16:17:00.000,Neutral Call
C0000500154,3936,138,2018-03-15 22:07:00.000,Purchase
C0000500155,3940,158,2018-03-18 23:49:00.000,Neutral Call
C0000500156,4062,134,2018-03-17 04:15:00.000,Neutral Call
C0000500157,4062,149,2018-03-17 04:24:00.000,Purchase
C0000500158,4077,115,2018-03-27 19:42:00.000,Neutral Call
C0000500159,4077,132,2018-03-27 19:49:00.000,Return Policy Inquiry
C0000500160,4086,188,2018-03-25 19:58:00.000,Neutral Call
C0000500161,4130,155,2018-05-06 13:01:00.000,Neutral Call
C0000500162,4130,176,2018-05-06 13:08:00.000,Purchase
C0000500163,4177,148,2018-03-20 01:08:00.000,Neutral Call
C0000500164,4177,118,2018-03-21 07:10:00.000,Return Policy Inquiry
C0000500165,4189,182,2018-04-03 07:53:00.000,Service Inquiry
C0000500166,4189,104,2018-04-04 23:56:00.000,Neutral Call
C0000500167,4189,183,2018-04-07 17:55:00.000,Purchase
C0000500168,4192,151,2018-03-13 13:31:00.000,Neutral Call
C0000500169,4215,109,2018-03-30 00:11:00.000,Purchase
C0000500170,4318,129,2018-03-20 00:46:00.000,Service Inquiry
C0000500171,4318,141,2018-03-21 10:05:00.000,Neutral Call
C0000500172,4366,142,2018-04-22 11:36:00.000,Return Policy Inquiry
C0000500173,4366,122,2018-04-22 11:47:00.000,Purchase
C0000500174,4367,146,2018-05-07 03:00:00.000,Service Inquiry
C0000500175,4367,156,2018-05-09 23:28:00.000,Neutral Call
C0000500176,4367,113,2018-05-09 23:33:00.000,Return Policy Inquiry
C0000500177,4367,190,2018-05-12 19:22:00.000,Purchase
C0000500178,4368,144,2018-04-04 07:22:00.000,Neutral Call
C0000500179,4399,158,2018-05-11 04:19:00.000,Neutral Call
C0000500180,4399,178,2018-05-11 04:26:00.000,Purchase
C0000500181,4405,173,2018-03-21 05:32:00.000,Neutral Call
C0000500182,4425,199,2018-04-16 19:04:00.000,Neutral Call
C0000500183,4492,172,2018-05-12 10:47:00.000,Neutral Call
C0000500184,4505,158,2018-05-06 02:46:00.000,Neutral Call
C0000500185,4505,104,2018-05-07 08:51:00.000,Purchase
C0000500186,4508,159,2018-04-24 12:21:00.000,Neutral Call
C0000500187,4529,195,2018-04-03 06:26:00.000,Neutral Call
C0000500188,4557,113,2018-04-01 19:46:00.000,Neutral Call
C0000500189,4557,182,2018-04-07 00:00:00.000,Purchase
C0000500190,4669,114,2018-05-12 20:22:00.000,Neutral Call
C0000500191,4686,141,2018-04-30 14:51:00.000,Return Policy Inquiry
C0000500192,4721,197,2018-04-30 03:42:00.000,Neutral Call
C0000500193,4721,200,2018-04-30 03:46:00.000,Return Policy Inquiry
C0000500194,4721,156,2018-05-01 13:28:00.000,Purchase
C0000500195,4746,164,2018-03-23 21:44:00.000,Return Policy Inquiry
C0000500196,4746,184,2018-03-28 08:25:00.000,Service Inquiry
C0000500197,4746,188,2018-03-28 08:28:00.000,Neutral Call
C0000500198,4778,198,2018-05-10 18:55:00.000,Neutral Call
C0000500199,4778,198,2018-05-15 18:55:00.000,Neutral Call
C0000500200,4778,103,2018-05-15 19:12:00.000,Purchase
C0000500201,4797,167,2018-03-24 21:09:00.000,Neutral Call
C0000500202,4797,157,2018-03-26 00:40:00.000,Purchase
C0000500203,4801,139,2018-03-14 01:47:00.000,Neutral Call
C0000500204,4801,125,2018-03-14 01:48:00.000,Return Policy Inquiry
C0000500205,4860,134,2018-04-03 18:32:00.000,Neutral Call
C0000500206,4860,181,2018-04-04 21:30:00.000,Purchase
C0000500207,4883,188,2018-04-22 04:18:00.000,Neutral Call
C0000500208,4883,103,2018-04-22 04:20:00.000,Return Policy Inquiry
C0000500209,4883,130,2018-04-22 04:23:00.000,Service Inquiry
C0000500210,4896,181,2018-04-09 09:09:00.000,Neutral Call
C0000500211,4914,171,2018-04-30 00:56:00.000,Neutral Call
C0000500212,4948,132,2018-04-19 08:36:00.000,Purchase
C0000500213,5008,178,2018-04-17 09:42:00.000,Neutral Call
C0000500214,5008,113,2018-04-17 09:52:00.000,Purchase
C0000500215,5064,148,2018-05-06 09:58:00.000,Neutral Call
C0000500216,5065,101,2018-03-16 17:41:00.000,Neutral Call
C0000500217,5116,130,2018-04-06 06:55:00.000,Return Policy Inquiry
C0000500218,5121,121,2018-05-11 20:54:00.000,Service Inquiry
C0000500219,5121,179,2018-05-11 21:10:00.000,Neutral Call
C0000500220,5121,160,2018-05-13 12:38:00.000,Return Policy Inquiry
C0000500221,5157,181,2018-05-09 22:08:00.000,Service Inquiry
C0000500222,5157,119,2018-05-09 22:12:00.000,Neutral Call
C0000500223,5157,172,2018-05-09 22:18:00.000,Return Policy Inquiry
C0000500224,5233,130,2018-05-02 12:58:00.000,Neutral Call
C0000500225,5345,186,2018-05-12 00:54:00.000,Neutral Call
C0000500226,5347,108,2018-04-09 07:40:00.000,Neutral Call
C0000500227,5358,100,2018-04-09 16:14:00.000,Return Policy Inquiry
C0000500228,5358,146,2018-04-09 16:16:00.000,Neutral Call
C0000500229,5379,183,2018-05-10 20:19:00.000,Neutral Call
C0000500230,5442,119,2018-04-19 07:23:00.000,Purchase
C0000500231,5449,162,2018-03-22 02:32:00.000,Neutral Call
C0000500232,5449,128,2018-03-23 08:33:00.000,Service Inquiry
C0000500233,5449,159,2018-03-24 16:40:00.000,Return Policy Inquiry
C0000500234,5473,149,2018-04-29 14:49:00.000,Service Inquiry
C0000500235,5473,145,2018-04-30 18:29:00.000,Purchase
C0000500236,5496,159,2018-03-26 02:44:00.000,Return Policy Inquiry
C0000500237,5496,144,2018-03-26 02:47:00.000,Neutral Call
C0000500238,5536,133,2018-05-03 03:38:00.000,Neutral Call
C0000500239,5536,119,2018-05-03 03:39:00.000,Service Inquiry
C0000500240,5536,105,2018-05-04 17:37:00.000,Purchase
C0000500241,5542,182,2018-05-12 01:26:00.000,Neutral Call
C0000500242,5550,180,2018-03-23 03:16:00.000,Return Policy Inquiry
C0000500243,5550,108,2018-03-24 19:15:00.000,Neutral Call
C0000500244,5574,198,2018-04-01 17:53:00.000,Return Policy Inquiry
C0000500245,5588,138,2018-03-28 01:46:00.000,Neutral Call
C0000500246,5588,188,2018-04-01 22:30:00.000,Purchase
C0000500247,5589,154,2018-03-12 18:46:00.000,Service Inquiry
C0000500248,5589,144,2018-03-12 18:54:00.000,Neutral Call
C0000500249,5589,152,2018-03-15 15:14:00.000,Return Policy Inquiry
C0000500250,5599,156,2018-04-26 05:33:00.000,Neutral Call
C0000500251,5604,105,2018-04-16 15:26:00.000,Service Inquiry
C0000500252,5604,191,2018-04-16 15:33:00.000,Neutral Call
C0000500253,5604,123,2018-04-17 20:52:00.000,Return Policy Inquiry
C0000500254,5622,140,2018-04-05 21:48:00.000,Service Inquiry
C0000500255,5661,155,2018-05-05 00:14:00.000,Service Inquiry
C0000500256,5702,104,2018-04-08 07:30:00.000,Neutral Call
C0000500257,5718,138,2018-04-19 19:53:00.000,Service Inquiry
C0000500258,5718,153,2018-04-22 17:53:00.000,Neutral Call
C0000500259,5718,181,2018-04-22 18:03:00.000,Purchase
C0000500260,5743,149,2018-03-28 16:22:00.000,Neutral Call
C0000500261,5754,187,2018-04-30 20:50:00.000,Neutral Call
C0000500262,5758,162,2018-05-10 15:29:00.000,Neutral Call
C0000500263,5758,193,2018-05-12 04:46:00.000,Return Policy Inquiry
C0000500264,5813,181,2018-04-06 06:47:00.000,Purchase
C0000500265,5845,107,2018-05-08 07:04:00.000,Service Inquiry
C0000500266,5856,176,2018-03-13 21:18:00.000,Service Inquiry
C0000500267,5865,193,2018-05-05 02:58:00.000,Purchase
C0000500268,5916,142,2018-04-23 06:14:00.000,Neutral Call
C0000500269,5940,137,2018-03-29 14:26:00.000,Neutral Call
C0000500270,5940,137,2018-03-31 06:13:00.000,Return Policy Inquiry
C0000500271,5959,109,2018-03-31 19:54:00.000,Neutral Call
C0000500272,5959,176,2018-04-02 02:03:00.000,Purchase
C0000500273,5960,138,2018-03-14 18:28:00.000,Neutral Call
C0000500274,5960,197,2018-03-18 08:19:00.000,Service Inquiry
C0000500275,5975,159,2018-04-23 10:16:00.000,Return Policy Inquiry
C0000500276,5975,104,2018-04-24 21:07:00.000,Purchase
C0000500277,6085,116,2018-03-25 11:26:00.000,Service Inquiry
C0000500278,6114,117,2018-04-19 18:59:00.000,Purchase
C0000500279,6136,177,2018-03-15 14:22:00.000,Neutral Call
C0000500280,6140,119,2018-04-18 03:21:00.000,Neutral Call
C0000500281,6140,146,2018-04-20 20:24:00.000,Purchase
C0000500282,6183,103,2018-05-04 16:43:00.000,Neutral Call
C0000500283,6201,141,2018-04-11 14:19:00.000,Neutral Call
C0000500284,6312,131,2018-03-20 19:45:00.000,Service Inquiry
C0000500285,6312,194,2018-03-20 19:48:00.000,Neutral Call
C0000500286,6440,131,2018-03-27 10:58:00.000,Neutral Call
C0000500287,6467,168,2018-04-22 10:30:00.000,Return Policy Inquiry
C0000500288,6487,180,2018-03-24 07:01:00.000,Service Inquiry
C0000500289,6487,109,2018-03-24 07:16:00.000,Neutral Call
C0000500290,6588,173,2018-03-21 18:35:00.000,Purchase
C0000500291,6596,138,2018-04-05 17:32:00.000,Service Inquiry
C0000500292,6596,198,2018-04-06 21:17:00.000,Neutral Call
C0000500293,6596,190,2018-04-09 07:41:00.000,Purchase
C0000500294,6606,172,2018-04-09 06:27:00.000,Neutral Call
C0000500295,6617,124,2018-03-17 05:26:00.000,Neutral Call
C0000500296,6673,153,2018-03-13 06:13:00.000,Return Policy Inquiry
C0000500297,6675,198,2018-03-18 04:58:00.000,Neutral Call
C0000500298,6675,141,2018-03-18 05:03:00.000,Service Inquiry
C0000500299,6679,187,2018-03-21 06:21:00.000,Return Policy Inquiry
C0000500300,6679,111,2018-03-21 06:34:00.000,Neutral Call
C0000500301,6679,111,2018-03-21 06:38:00.000,Service Inquiry
C0000500302,6682,110,2018-03-17 14:45:00.000,Neutral Call
C0000500303,6682,111,2018-03-17 15:03:00.000,Purchase
C0000500304,6750,185,2018-04-01 17:29:00.000,Return Policy Inquiry
C0000500305,6750,175,2018-04-01 17:30:00.000,Neutral Call
C0000500306,6750,168,2018-04-01 17:36:00.000,Service Inquiry
C0000500307,6750,184,2018-04-01 17:37:00.000,Purchase
C0000500308,6754,177,2018-04-14 20:10:00.000,Neutral Call
C0000500309,6754,123,2018-04-14 20:19:00.000,Return Policy Inquiry
C0000500310,6893,160,2018-05-10 13:31:00.000,Neutral Call
C0000500311,6937,148,2018-04-25 20:01:00.000,Neutral Call
C0000500312,6937,164,2018-04-29 00:02:00.000,Purchase
C0000500313,6972,119,2018-05-12 22:52:00.000,Neutral Call
C0000500314,6978,161,2018-05-03 17:13:00.000,Neutral Call
C0000500315,6978,111,2018-05-03 17:16:00.000,Return Policy Inquiry
C0000500316,6981,164,2018-03-19 13:53:00.000,Neutral Call
C0000500317,6984,185,2018-04-27 21:54:00.000,Purchase
C0000500318,7008,104,2018-04-21 12:39:00.000,Neutral Call
C0000500319,7029,195,2018-04-14 04:17:00.000,Neutral Call
C0000500320,7029,122,2018-04-19 17:18:00.000,Neutral Call
C0000500321,7029,198,2018-04-19 17:22:00.000,Purchase
C0000500322,7060,138,2018-03-25 07:12:00.000,Neutral Call
C0000500323,7060,168,2018-03-25 07:16:00.000,Purchase
C0000500324,7061,196,2018-04-03 21:20:00.000,Service Inquiry
C0000500325,7061,143,2018-04-05 04:54:00.000,Neutral Call
C0000500326,7108,192,2018-03-20 12:20:00.000,Service Inquiry
C0000500327,7108,199,2018-03-24 18:19:00.000,Purchase
C0000500328,7172,164,2018-03-22 12:03:00.000,Return Policy Inquiry
C0000500329,7172,189,2018-03-23 15:46:00.000,Neutral Call
C0000500330,7221,146,2018-04-24 20:51:00.000,Service Inquiry
C0000500331,7221,101,2018-04-24 20:55:00.000,Neutral Call
C0000500332,7278,120,2018-04-05 12:05:00.000,Service Inquiry
C0000500333,7346,133,2018-05-12 18:12:00.000,Service Inquiry
C0000500334,7383,193,2018-04-20 00:42:00.000,Neutral Call
C0000500335,7415,103,2018-05-13 19:13:00.000,Service Inquiry
C0000500336,7415,165,2018-05-13 19:18:00.000,Purchase
C0000500337,7421,173,2018-05-15 08:58:00.000,Purchase
C0000500338,7505,104,2018-03-27 05:29:00.000,Neutral Call
C0000500339,7537,180,2018-05-14 12:34:00.000,Neutral Call
C0000500340,7592,109,2018-04-30 21:20:00.000,Purchase
C0000500341,7638,167,2018-04-10 03:20:00.000,Return Policy Inquiry
C0000500342,7638,119,2018-04-14 21:52:00.000,Neutral Call
C0000500343,7639,160,2018-05-04 23:58:00.000,Service Inquiry
C0000500344,7639,123,2018-05-04 23:59:00.000,Neutral Call
C0000500345,7639,116,2018-05-07 16:16:00.000,Purchase
C0000500346,7688,164,2018-04-07 14:45:00.000,Neutral Call
C0000500347,7688,121,2018-04-07 14:59:00.000,Purchase
C0000500348,7698,141,2018-03-28 19:56:00.000,Purchase
C0000500349,7733,190,2018-03-31 08:33:00.000,Neutral Call
C0000500350,7733,174,2018-04-02 21:48:00.000,Purchase
C0000500351,7747,126,2018-04-29 01:28:00.000,Neutral Call
C0000500352,7747,186,2018-04-30 07:47:00.000,Purchase
C0000500353,7754,174,2018-03-12 20:40:00.000,Neutral Call
C0000500354,7756,120,2018-04-04 01:57:00.000,Return Policy Inquiry
C0000500355,7756,148,2018-04-04 01:58:00.000,Neutral Call
C0000500356,7797,151,2018-04-03 07:45:00.000,Purchase
C0000500357,7917,158,2018-04-13 03:43:00.000,Purchase
C0000500358,7966,196,2018-04-04 09:17:00.000,Purchase
C0000500359,7971,110,2018-05-05 06:21:00.000,Purchase
C0000500360,7978,159,2018-03-16 00:24:00.000,Neutral Call
C0000500361,7979,200,2018-03-17 22:48:00.000,Neutral Call
C0000500362,7982,109,2018-04-12 02:17:00.000,Neutral Call
C0000500363,7982,130,2018-04-13 08:29:00.000,Purchase
C0000500364,7989,198,2018-04-29 04:53:00.000,Service Inquiry
C0000500365,8010,104,2018-04-05 17:13:00.000,Neutral Call
C0000500366,8055,115,2018-04-26 04:53:00.000,Service Inquiry
C0000500367,8055,171,2018-04-26 05:02:00.000,Purchase
C0000500368,8076,143,2018-05-11 05:41:00.000,Neutral Call
C0000500369,8077,104,2018-04-01 13:18:00.000,Purchase
C0000500370,8083,110,2018-04-16 21:30:00.000,Neutral Call
C0000500371,8083,151,2018-04-20 18:21:00.000,Service Inquiry
C0000500372,8123,133,2018-04-27 01:03:00.000,Neutral Call
C0000500373,8123,148,2018-04-27 01:12:00.000,Purchase
C0000500374,8132,137,2018-05-07 19:36:00.000,Neutral Call
C0000500375,8132,163,2018-05-08 22:27:00.000,Return Policy Inquiry
C0000500376,8132,163,2018-05-12 15:09:00.000,Purchase
C0000500377,8134,102,2018-05-11 06:13:00.000,Purchase
C0000500378,8146,138,2018-04-17 18:50:00.000,Purchase
C0000500379,8151,124,2018-03-25 09:03:00.000,Neutral Call
C0000500380,8151,133,2018-03-28 00:32:00.000,Purchase
C0000500381,8280,147,2018-05-12 05:49:00.000,Neutral Call
C0000500382,8280,185,2018-05-14 15:02:00.000,Service Inquiry
C0000500383,8280,107,2018-05-14 15:12:00.000,Return Policy Inquiry
C0000500384,8313,132,2018-04-03 20:48:00.000,Neutral Call
C0000500385,8313,150,2018-04-03 20:54:00.000,Purchase
C0000500386,8323,127,2018-05-06 08:11:00.000,Purchase
C0000500387,8389,105,2018-04-09 18:07:00.000,Neutral Call
C0000500388,8425,200,2018-04-02 11:36:00.000,Service Inquiry
C0000500389,8425,199,2018-04-03 18:17:00.000,Neutral Call
C0000500390,8462,200,2018-04-13 07:03:00.000,Neutral Call
C0000500391,8462,168,2018-04-17 11:37:00.000,Neutral Call
C0000500392,8487,179,2018-03-26 19:37:00.000,Neutral Call
C0000500393,8490,103,2018-04-25 05:15:00.000,Neutral Call
C0000500394,8517,137,2018-05-08 19:53:00.000,Return Policy Inquiry
C0000500395,8517,172,2018-05-08 19:58:00.000,Service Inquiry
C0000500396,8517,149,2018-05-09 21:59:00.000,Neutral Call
C0000500397,8539,198,2018-03-16 15:35:00.000,Neutral Call
C0000500398,8539,129,2018-03-18 05:42:00.000,Purchase
C0000500399,8591,153,2018-03-15 12:02:00.000,Neutral Call
C0000500400,8591,134,2018-03-15 12:09:00.000,Service Inquiry
C0000500401,8617,194,2018-04-05 15:48:00.000,Neutral Call
C0000500402,8617,189,2018-04-06 21:00:00.000,Service Inquiry
C0000500403,8650,150,2018-04-21 08:03:00.000,Purchase
C0000500404,8659,156,2018-04-30 07:09:00.000,Purchase
C0000500405,8684,149,2018-03-22 18:46:00.000,Neutral Call
C0000500406,8684,120,2018-03-24 00:51:00.000,Purchase
C0000500407,8714,158,2018-04-21 10:51:00.000,Neutral Call
C0000500408,8783,144,2018-05-06 16:37:00.000,Service Inquiry
C0000500409,8783,138,2018-05-07 19:16:00.000,Neutral Call
C0000500410,8783,192,2018-05-07 19:20:00.000,Return Policy Inquiry
C0000500411,8804,146,2018-04-28 03:59:00.000,Purchase
C0000500412,8812,108,2018-04-06 22:56:00.000,Service Inquiry
C0000500413,8812,198,2018-04-11 02:53:00.000,Neutral Call
C0000500414,8812,119,2018-04-12 14:25:00.000,Purchase
C0000500415,8817,112,2018-03-24 03:06:00.000,Neutral Call
C0000500416,8889,198,2018-05-13 03:42:00.000,Neutral Call
C0000500417,8889,134,2018-05-13 03:45:00.000,Return Policy Inquiry
