STORE_ID,CUSTOMER_ID,VISIT_DT,ACTION
78,2454,2018-03-31 07:37:00.000,Purchase
65,2462,2018-04-19 03:49:00.000,Service Inquiry
65,2462,2018-04-20 18:26:00.000,Store Visit
65,2462,2018-04-22 02:18:00.000,Purchase
55,2484,2018-04-21 12:21:00.000,Purchase
55,2484,2018-04-21 12:18:00.000,Store Visit
51,2518,2018-05-05 15:20:00.000,Store Visit
68,2522,2018-05-14 02:13:00.000,Purchase
38,2547,2018-03-14 14:34:00.000,Store Visit
38,2547,2018-03-19 16:10:00.000,Return Policy Inquiry
64,2552,2018-05-05 23:26:00.000,Return Policy Inquiry
64,2552,2018-05-07 09:12:00.000,Purchase
38,2626,2018-05-01 17:57:00.000,Purchase
38,2626,2018-04-27 22:16:00.000,Return Policy Inquiry
31,2702,2018-05-08 17:13:00.000,Purchase
50,2763,2018-05-09 22:38:00.000,Return Policy Inquiry
116,2821,2018-05-09 14:38:00.000,Purchase
31,2887,2018-03-25 22:30:00.000,Service Inquiry
31,2887,2018-03-27 12:03:00.000,Return Policy Inquiry
44,2956,2018-03-15 03:59:00.000,Store Visit
78,3078,2018-03-18 01:55:00.000,Service Inquiry
86,3127,2018-04-11 22:01:00.000,Return Policy Inquiry
69,3144,2018-04-25 12:40:00.000,Service Inquiry
69,3144,2018-04-25 12:45:00.000,Store Visit
68,3173,2018-03-24 05:37:00.000,Purchase
68,3173,2018-03-21 14:58:00.000,Store Visit
115,3191,2018-04-12 00:34:00.000,Return Policy Inquiry
115,3191,2018-04-13 07:58:00.000,Purchase
100,3198,2018-03-17 09:51:00.000,Store Visit
73,3209,2018-05-10 22:57:00.000,Service Inquiry
52,3277,2018-03-13 22:04:00.000,Purchase
90,3326,2018-05-02 21:39:00.000,Purchase
90,3326,2018-04-29 01:44:00.000,Return Policy Inquiry
59,3338,2018-04-22 05:20:00.000,Return Policy Inquiry
59,3338,2018-04-24 23:15:00.000,Purchase
59,3338,2018-04-22 05:26:00.000,Service Inquiry
40,3546,2018-03-14 17:55:00.000,Return Policy Inquiry
40,3546,2018-03-15 21:01:00.000,Store Visit
38,3647,2018-03-23 02:01:00.000,Store Visit
38,3647,2018-03-20 02:51:00.000,Service Inquiry
32,3651,2018-04-28 12:12:00.000,Store Visit
68,3703,2018-04-28 18:35:00.000,Purchase
115,3710,2018-03-30 19:04:00.000,Purchase
73,3715,2018-05-03 19:48:00.000,Purchase
73,3715,2018-05-03 19:40:00.000,Store Visit
73,3715,2018-05-03 19:41:00.000,Return Policy Inquiry
64,3730,2018-04-25 19:03:00.000,Store Visit
102,3798,2018-03-23 19:27:00.000,Purchase
102,3798,2018-03-22 09:49:00.000,Store Visit
18,3849,2018-04-03 14:01:00.000,Purchase
61,3900,2018-03-18 01:19:00.000,Return Policy Inquiry
100,3922,2018-03-25 03:04:00.000,Return Policy Inquiry
100,3922,2018-03-27 20:08:00.000,Service Inquiry
85,3936,2018-03-15 21:56:00.000,Return Policy Inquiry
100,3940,2018-03-18 23:52:00.000,Store Visit
112,4077,2018-03-27 19:53:00.000,Purchase
23,4086,2018-03-25 20:03:00.000,Purchase
23,4086,2018-03-25 19:48:00.000,Return Policy Inquiry
23,4086,2018-03-25 19:54:00.000,Store Visit
104,4093,2018-04-21 07:37:00.000,Purchase
59,4130,2018-05-05 04:46:00.000,Return Policy Inquiry
59,4130,2018-05-05 04:49:00.000,Service Inquiry
71,4177,2018-03-22 12:37:00.000,Service Inquiry
71,4177,2018-03-21 07:10:00.000,Store Visit
71,4177,2018-03-26 23:53:00.000,Purchase
118,4192,2018-03-16 07:42:00.000,Purchase
118,4192,2018-03-16 07:39:00.000,Store Visit
65,4215,2018-03-28 22:20:00.000,Service Inquiry
65,4215,2018-03-30 00:08:00.000,Store Visit
34,4271,2018-04-07 04:49:00.000,Store Visit
34,4271,2018-04-07 04:56:00.000,Purchase
108,4318,2018-03-21 10:14:00.000,Purchase
54,4368,2018-04-05 17:06:00.000,Purchase
54,4368,2018-04-04 07:19:00.000,Store Visit
111,4391,2018-05-03 12:24:00.000,Purchase
42,4399,2018-05-11 04:17:00.000,Store Visit
103,4405,2018-03-24 03:58:00.000,Service Inquiry
103,4405,2018-03-20 02:04:00.000,Return Policy Inquiry
103,4405,2018-03-24 04:12:00.000,Purchase
103,4405,2018-03-24 04:06:00.000,Store Visit
26,4425,2018-04-20 13:59:00.000,Purchase
30,4492,2018-05-13 16:58:00.000,Purchase
119,4508,2018-04-21 19:40:00.000,Return Policy Inquiry
119,4508,2018-04-24 12:28:00.000,Purchase
62,4529,2018-04-03 06:12:00.000,Return Policy Inquiry
62,4529,2018-04-05 23:18:00.000,Store Visit
36,4557,2018-03-31 08:04:00.000,Return Policy Inquiry
36,4557,2018-04-05 08:37:00.000,Store Visit
32,4669,2018-05-12 20:32:00.000,Store Visit
32,4669,2018-05-12 20:38:00.000,Purchase
32,4669,2018-05-11 05:04:00.000,Return Policy Inquiry
79,4686,2018-04-29 00:09:00.000,Store Visit
75,4721,2018-04-30 03:48:00.000,Service Inquiry
66,4746,2018-03-29 17:00:00.000,Purchase
118,4778,2018-05-12 01:01:00.000,Service Inquiry
118,4778,2018-05-14 15:48:00.000,Store Visit
41,4797,2018-03-23 13:57:00.000,Service Inquiry
48,4801,2018-03-16 23:14:00.000,Purchase
48,4801,2018-03-16 23:04:00.000,Store Visit
28,4854,2018-03-18 19:13:00.000,Purchase
24,4860,2018-04-02 02:09:00.000,Store Visit
49,4883,2018-04-24 20:28:00.000,Purchase
51,4896,2018-04-10 17:37:00.000,Return Policy Inquiry
104,4914,2018-05-02 08:48:00.000,Purchase
104,4914,2018-04-30 00:52:00.000,Service Inquiry
44,5013,2018-04-16 05:57:00.000,Purchase
49,5065,2018-03-15 07:32:00.000,Service Inquiry
49,5065,2018-03-16 17:53:00.000,Store Visit
49,5065,2018-03-17 19:27:00.000,Purchase
60,5116,2018-04-06 06:58:00.000,Service Inquiry
60,5116,2018-04-06 07:01:00.000,Purchase
92,5121,2018-05-13 12:41:00.000,Store Visit
30,5157,2018-05-09 22:22:00.000,Store Visit
30,5157,2018-05-12 16:59:00.000,Purchase
107,5233,2018-05-03 19:49:00.000,Purchase
35,5270,2018-03-31 17:59:00.000,Purchase
66,5278,2018-05-10 21:22:00.000,Purchase
108,5319,2018-04-21 19:50:00.000,Purchase
73,5345,2018-05-14 15:26:00.000,Purchase
73,5345,2018-05-14 15:16:00.000,Service Inquiry
92,5347,2018-04-12 21:38:00.000,Purchase
92,5347,2018-04-09 07:48:00.000,Service Inquiry
92,5347,2018-04-09 07:43:00.000,Store Visit
60,5379,2018-05-13 14:07:00.000,Purchase
57,5395,2018-03-16 08:41:00.000,Purchase
89,5473,2018-04-29 14:55:00.000,Return Policy Inquiry
117,5496,2018-03-30 23:14:00.000,Purchase
92,5536,2018-05-03 03:37:00.000,Return Policy Inquiry
92,5536,2018-05-03 03:31:00.000,Store Visit
87,5542,2018-05-12 01:19:00.000,Store Visit
76,5550,2018-03-24 19:18:00.000,Purchase
107,5574,2018-04-01 17:58:00.000,Store Visit
68,5588,2018-03-31 18:05:00.000,Return Policy Inquiry
68,5588,2018-03-26 16:16:00.000,Service Inquiry
66,5589,2018-03-12 18:56:00.000,Store Visit
52,5599,2018-04-26 05:30:00.000,Store Visit
52,5599,2018-04-26 05:25:00.000,Service Inquiry
52,5599,2018-04-26 05:36:00.000,Return Policy Inquiry
121,5604,2018-04-17 20:56:00.000,Store Visit
97,5620,2018-04-28 19:01:00.000,Purchase
75,5622,2018-04-05 21:54:00.000,Store Visit
118,5661,2018-05-05 00:05:00.000,Store Visit
118,5661,2018-05-05 00:25:00.000,Purchase
68,5693,2018-03-28 01:08:00.000,Service Inquiry
68,5693,2018-03-28 01:16:00.000,Purchase
69,5702,2018-04-08 07:21:00.000,Service Inquiry
69,5702,2018-04-10 11:11:00.000,Store Visit
69,5702,2018-04-13 03:17:00.000,Purchase
76,5718,2018-04-19 19:58:00.000,Return Policy Inquiry
76,5718,2018-04-21 08:21:00.000,Store Visit
64,5743,2018-03-31 01:29:00.000,Store Visit
64,5743,2018-03-29 22:24:00.000,Service Inquiry
85,5754,2018-05-02 02:57:00.000,Service Inquiry
85,5754,2018-05-02 02:54:00.000,Store Visit
75,5758,2018-05-10 15:25:00.000,Service Inquiry
40,5916,2018-04-23 06:11:00.000,Return Policy Inquiry
40,5916,2018-04-26 22:15:00.000,Purchase
27,5940,2018-04-01 21:52:00.000,Purchase
27,5940,2018-03-29 14:24:00.000,Store Visit
106,5975,2018-04-24 21:05:00.000,Store Visit
68,5979,2018-04-29 19:16:00.000,Store Visit
68,5979,2018-05-01 07:48:00.000,Purchase
77,5982,2018-04-15 14:50:00.000,Purchase
77,5982,2018-04-14 04:39:00.000,Store Visit
30,5988,2018-04-15 09:03:00.000,Return Policy Inquiry
30,5988,2018-04-15 09:01:00.000,Store Visit
91,6049,2018-04-01 07:47:00.000,Service Inquiry
40,6085,2018-03-25 11:29:00.000,Purchase
40,6085,2018-03-25 11:20:00.000,Return Policy Inquiry
96,6132,2018-03-24 17:53:00.000,Purchase
96,6132,2018-03-24 17:49:00.000,Store Visit
105,6136,2018-03-15 14:15:00.000,Store Visit
118,6140,2018-04-16 19:01:00.000,Return Policy Inquiry
69,6145,2018-03-14 17:49:00.000,Store Visit
38,6201,2018-04-14 06:26:00.000,Store Visit
38,6201,2018-04-14 06:23:00.000,Return Policy Inquiry
111,6312,2018-03-22 08:37:00.000,Purchase
115,6414,2018-04-21 07:32:00.000,Purchase
40,6440,2018-03-27 11:07:00.000,Return Policy Inquiry
66,6467,2018-04-22 10:36:00.000,Purchase
66,6467,2018-04-22 10:32:00.000,Store Visit
54,6487,2018-03-24 07:18:00.000,Store Visit
67,6492,2018-04-21 08:17:00.000,Purchase
69,6501,2018-03-24 13:32:00.000,Purchase
45,6596,2018-04-06 21:28:00.000,Store Visit
93,6606,2018-04-09 06:20:00.000,Store Visit
93,6606,2018-04-09 06:34:00.000,Return Policy Inquiry
27,6633,2018-04-24 06:55:00.000,Store Visit
27,6633,2018-04-24 07:00:00.000,Purchase
68,6673,2018-03-14 14:18:00.000,Purchase
34,6675,2018-03-19 19:17:00.000,Return Policy Inquiry
90,6682,2018-03-17 14:42:00.000,Return Policy Inquiry
36,6693,2018-04-15 23:48:00.000,Store Visit
36,6693,2018-04-15 23:46:00.000,Service Inquiry
36,6693,2018-04-15 23:56:00.000,Purchase
36,6750,2018-04-01 17:31:00.000,Store Visit
24,6754,2018-04-16 01:00:00.000,Service Inquiry
24,6754,2018-04-16 01:13:00.000,Purchase
84,6831,2018-04-16 01:24:00.000,Service Inquiry
84,6831,2018-04-16 01:32:00.000,Store Visit
84,6831,2018-04-16 01:30:00.000,Return Policy Inquiry
104,6861,2018-03-24 15:18:00.000,Purchase
104,6861,2018-03-23 11:19:00.000,Store Visit
74,6893,2018-05-11 15:06:00.000,Store Visit
66,6937,2018-04-27 08:53:00.000,Store Visit
66,6937,2018-04-27 08:58:00.000,Return Policy Inquiry
104,6972,2018-05-12 22:45:00.000,Service Inquiry
104,6972,2018-05-12 22:51:00.000,Store Visit
119,6978,2018-05-03 17:20:00.000,Purchase
119,6978,2018-05-01 03:08:00.000,Store Visit
44,6981,2018-03-20 19:54:00.000,Service Inquiry
44,6981,2018-03-20 20:06:00.000,Purchase
62,7008,2018-04-21 12:36:00.000,Service Inquiry
95,7016,2018-04-29 13:06:00.000,Purchase
95,7016,2018-04-29 12:54:00.000,Return Policy Inquiry
34,7029,2018-04-14 04:22:00.000,Store Visit
34,7029,2018-04-14 04:13:00.000,Service Inquiry
34,7029,2018-04-12 22:41:00.000,Return Policy Inquiry
55,7061,2018-04-05 04:53:00.000,Return Policy Inquiry
55,7061,2018-04-03 21:17:00.000,Store Visit
30,7108,2018-03-23 04:22:00.000,Store Visit
68,7172,2018-03-23 15:49:00.000,Purchase
68,7172,2018-03-22 12:01:00.000,Store Visit
54,7221,2018-04-24 20:45:00.000,Store Visit
84,7278,2018-04-02 12:07:00.000,Store Visit
30,7346,2018-05-12 18:16:00.000,Purchase
102,7383,2018-04-21 01:22:00.000,Purchase
102,7383,2018-04-20 00:44:00.000,Return Policy Inquiry
102,7383,2018-04-21 01:16:00.000,Service Inquiry
24,7415,2018-05-12 03:56:00.000,Store Visit
82,7421,2018-05-13 16:55:00.000,Store Visit
102,7537,2018-05-16 02:47:00.000,Return Policy Inquiry
102,7537,2018-05-14 12:37:00.000,Store Visit
36,7545,2018-03-23 02:08:00.000,Purchase
116,7629,2018-04-22 04:31:00.000,Store Visit
116,7629,2018-04-22 04:41:00.000,Purchase
49,7638,2018-04-11 17:54:00.000,Service Inquiry
49,7638,2018-04-11 17:52:00.000,Store Visit
42,7639,2018-05-07 16:13:00.000,Return Policy Inquiry
68,7655,2018-04-25 05:00:00.000,Service Inquiry
68,7655,2018-04-25 05:02:00.000,Purchase
119,7698,2018-03-28 19:42:00.000,Store Visit
119,7698,2018-03-28 19:50:00.000,Return Policy Inquiry
84,7733,2018-03-31 08:34:00.000,Service Inquiry
84,7733,2018-03-31 08:46:00.000,Return Policy Inquiry
102,7747,2018-04-30 07:31:00.000,Service Inquiry
39,7754,2018-03-12 20:42:00.000,Return Policy Inquiry
39,7754,2018-03-12 20:38:00.000,Service Inquiry
39,7754,2018-03-12 20:41:00.000,Store Visit
73,7756,2018-04-05 05:11:00.000,Service Inquiry
89,7903,2018-05-04 15:27:00.000,Purchase
41,7966,2018-04-02 19:12:00.000,Service Inquiry
100,7971,2018-05-05 06:15:00.000,Service Inquiry
118,7978,2018-03-18 16:10:00.000,Purchase
102,7979,2018-03-19 04:52:00.000,Purchase
33,8010,2018-04-09 16:07:00.000,Purchase
33,8010,2018-04-05 17:08:00.000,Service Inquiry
33,8010,2018-04-06 22:50:00.000,Store Visit
66,8055,2018-04-26 04:55:00.000,Return Policy Inquiry
119,8076,2018-05-12 07:02:00.000,Service Inquiry
119,8076,2018-05-12 07:00:00.000,Store Visit
119,8076,2018-05-14 14:06:00.000,Purchase
119,8076,2018-05-11 05:27:00.000,Return Policy Inquiry
10,8077,2018-03-30 22:11:00.000,Service Inquiry
118,8083,2018-04-20 18:25:00.000,Purchase
31,8123,2018-04-25 16:39:00.000,Return Policy Inquiry
31,8123,2018-04-25 16:48:00.000,Store Visit
49,8132,2018-05-07 19:45:00.000,Store Visit
49,8132,2018-05-07 19:43:00.000,Service Inquiry
29,8134,2018-05-11 06:06:00.000,Store Visit
92,8146,2018-04-17 18:41:00.000,Service Inquiry
92,8146,2018-04-17 18:33:00.000,Store Visit
118,8151,2018-03-25 09:10:00.000,Store Visit
118,8151,2018-03-26 14:37:00.000,Service Inquiry
118,8183,2018-04-14 19:29:00.000,Store Visit
118,8183,2018-04-14 19:41:00.000,Purchase
64,8280,2018-05-19 02:47:00.000,Store Visit
85,8313,2018-04-03 20:45:00.000,Service Inquiry
85,8313,2018-04-03 20:42:00.000,Store Visit
40,8389,2018-04-12 01:36:00.000,Purchase
40,8389,2018-04-11 00:11:00.000,Service Inquiry
103,8412,2018-03-24 02:28:00.000,Purchase
106,8425,2018-04-08 07:07:00.000,Purchase
118,8462,2018-04-18 21:30:00.000,Purchase
118,8462,2018-04-16 02:02:00.000,Store Visit
118,8462,2018-04-14 13:11:00.000,Service Inquiry
51,8487,2018-03-28 01:47:00.000,Purchase
84,8490,2018-04-26 11:28:00.000,Service Inquiry
84,8490,2018-04-26 11:25:00.000,Return Policy Inquiry
84,8490,2018-04-27 16:29:00.000,Purchase
106,8517,2018-05-11 00:25:00.000,Purchase
106,8539,2018-03-16 15:38:00.000,Store Visit
106,8539,2018-03-15 06:12:00.000,Return Policy Inquiry
67,8591,2018-03-15 12:20:00.000,Purchase
92,8783,2018-05-09 07:58:00.000,Purchase
89,8804,2018-04-28 03:55:00.000,Store Visit
59,8812,2018-04-11 02:57:00.000,Store Visit
101,8817,2018-03-24 03:16:00.000,Service Inquiry
101,8817,2018-03-31 03:15:00.000,Purchase
44,8889,2018-05-13 03:41:00.000,Service Inquiry
44,8889,2018-05-14 18:20:00.000,Purchase
64,8909,2018-03-18 08:34:00.000,Purchase
64,8909,2018-03-16 19:50:00.000,Return Policy Inquiry
96,8910,2018-03-19 07:18:00.000,Store Visit
92,8923,2018-03-22 04:26:00.000,Service Inquiry
92,8923,2018-03-22 04:23:00.000,Return Policy Inquiry
89,8943,2018-03-29 10:02:00.000,Purchase
30,8956,2018-04-20 16:29:00.000,Purchase
34,8973,2018-04-22 07:59:00.000,Store Visit
96,9009,2018-03-25 03:45:00.000,Purchase
40,9012,2018-05-04 07:40:00.000,Service Inquiry
90,9036,2018-04-12 19:04:00.000,Service Inquiry
56,9042,2018-03-22 20:14:00.000,Store Visit
66,9205,2018-04-09 13:59:00.000,Purchase
66,9205,2018-04-09 13:54:00.000,Store Visit
45,9267,2018-04-28 13:59:00.000,Return Policy Inquiry
32,9358,2018-05-09 22:35:00.000,Store Visit
68,9361,2018-04-18 06:19:00.000,Purchase
74,9373,2018-03-14 05:39:00.000,Purchase
27,9382,2018-03-21 20:29:00.000,Purchase
66,9402,2018-03-16 18:44:00.000,Store Visit
64,9473,2018-04-05 14:49:00.000,Store Visit
94,9486,2018-05-14 15:10:00.000,Return Policy Inquiry
94,9486,2018-05-12 22:55:00.000,Service Inquiry
94,9486,2018-05-17 17:33:00.000,Store Visit
108,9508,2018-03-15 17:33:00.000,Store Visit
113,9522,2018-03-28 16:01:00.000,Store Visit
26,9524,2018-03-14 03:17:00.000,Return Policy Inquiry
48,9550,2018-03-15 22:12:00.000,Store Visit
48,9550,2018-03-15 22:03:00.000,Return Policy Inquiry
102,9563,2018-04-12 21:52:00.000,Purchase
102,9563,2018-04-10 01:03:00.000,Store Visit
112,9572,2018-04-20 13:30:00.000,Purchase
68,9602,2018-04-15 07:56:00.000,Purchase
54,9629,2018-04-27 00:13:00.000,Store Visit
91,9655,2018-05-05 22:30:00.000,Service Inquiry
96,9677,2018-04-18 11:12:00.000,Store Visit
56,9701,2018-04-16 13:20:00.000,Return Policy Inquiry
56,9701,2018-04-16 12:57:00.000,Service Inquiry
119,9704,2018-04-01 02:24:00.000,Store Visit
119,9704,2018-04-01 02:44:00.000,Purchase
89,9732,2018-05-07 16:45:00.000,Store Visit
89,9732,2018-05-07 16:52:00.000,Purchase
78,9756,2018-03-29 13:03:00.000,Store Visit
78,9756,2018-03-29 13:17:00.000,Purchase
78,9756,2018-03-26 10:25:00.000,Return Policy Inquiry
78,9756,2018-03-26 10:28:00.000,Service Inquiry
89,9792,2018-05-09 16:18:00.000,Service Inquiry
100,9823,2018-04-03 09:09:00.000,Purchase
106,9899,2018-04-06 07:36:00.000,Store Visit
56,9984,2018-03-21 21:23:00.000,Service Inquiry
39,10042,2018-05-04 07:25:00.000,Service Inquiry
39,10042,2018-05-04 07:29:00.000,Store Visit
90,10054,2018-05-05 11:05:00.000,Return Policy Inquiry
86,10088,2018-04-17 04:56:00.000,Service Inquiry
86,10088,2018-04-17 05:04:00.000,Purchase
86,10088,2018-04-17 05:01:00.000,Return Policy Inquiry
103,10094,2018-03-28 15:04:00.000,Return Policy Inquiry
103,10094,2018-03-28 15:03:00.000,Store Visit
52,10102,2018-03-22 17:51:00.000,Store Visit
118,10120,2018-04-28 20:38:00.000,Purchase
111,10125,2018-04-20 22:47:00.000,Store Visit
62,10128,2018-05-12 15:03:00.000,Purchase
53,10220,2018-05-04 14:10:00.000,Store Visit
53,10220,2018-05-04 14:16:00.000,Return Policy Inquiry
54,10244,2018-03-26 00:01:00.000,Service Inquiry
82,10250,2018-05-15 02:54:00.000,Purchase
82,10250,2018-05-11 22:47:00.000,Service Inquiry
82,10250,2018-05-13 13:44:00.000,Store Visit
87,10270,2018-03-30 14:59:00.000,Service Inquiry
87,10270,2018-03-30 14:57:00.000,Return Policy Inquiry
89,10284,2018-05-06 11:32:00.000,Service Inquiry
97,10397,2018-04-30 13:48:00.000,Service Inquiry
89,10452,2018-03-19 07:59:00.000,Service Inquiry
89,10452,2018-03-19 08:03:00.000,Return Policy Inquiry
89,10452,2018-03-20 10:05:00.000,Store Visit
32,10463,2018-04-25 20:14:00.000,Store Visit
32,10463,2018-04-25 20:07:00.000,Return Policy Inquiry
32,10463,2018-04-26 22:12:00.000,Purchase
32,10463,2018-04-25 20:20:00.000,Service Inquiry
104,10473,2018-04-06 14:52:00.000,Service Inquiry
30,10484,2018-04-23 17:01:00.000,Return Policy Inquiry
30,10484,2018-04-23 17:05:00.000,Store Visit
24,10517,2018-04-06 03:48:00.000,Purchase
119,10554,2018-03-21 16:08:00.000,Store Visit
45,10573,2018-05-14 06:26:00.000,Purchase
68,10629,2018-05-13 13:51:00.000,Service Inquiry
68,10629,2018-05-13 13:52:00.000,Return Policy Inquiry
112,10697,2018-04-14 05:52:00.000,Service Inquiry
52,10709,2018-05-04 10:15:00.000,Return Policy Inquiry
52,10709,2018-05-05 13:57:00.000,Purchase
44,10744,2018-05-15 08:22:00.000,Store Visit
44,10744,2018-05-15 08:29:00.000,Purchase
38,10752,2018-04-27 18:46:00.000,Store Visit
38,10752,2018-04-25 17:54:00.000,Return Policy Inquiry
69,10797,2018-04-14 06:47:00.000,Service Inquiry
97,10874,2018-03-19 17:59:00.000,Purchase
103,10901,2018-03-18 06:22:00.000,Purchase
29,11054,2018-05-04 03:49:00.000,Service Inquiry
103,11078,2018-04-23 00:10:00.000,Purchase
39,11081,2018-05-03 21:24:00.000,Purchase
34,11090,2018-04-30 22:43:00.000,Purchase
49,11116,2018-05-08 03:39:00.000,Store Visit
49,11116,2018-05-08 03:40:00.000,Service Inquiry
49,11116,2018-05-08 03:49:00.000,Purchase
98,11118,2018-05-06 09:42:00.000,Service Inquiry
115,11141,2018-04-23 16:00:00.000,Service Inquiry
50,11232,2018-04-03 21:48:00.000,Store Visit
119,11288,2018-04-12 09:36:00.000,Return Policy Inquiry
115,11295,2018-05-11 13:02:00.000,Store Visit
31,11315,2018-04-03 14:52:00.000,Store Visit
82,11421,2018-04-30 23:22:00.000,Service Inquiry
107,11430,2018-04-29 19:43:00.000,Service Inquiry
107,11430,2018-04-28 17:06:00.000,Store Visit
107,11430,2018-04-28 17:01:00.000,Return Policy Inquiry
82,11438,2018-04-19 12:09:00.000,Purchase
100,11450,2018-03-29 16:04:00.000,Service Inquiry
100,11450,2018-03-30 20:20:00.000,Purchase
100,11450,2018-03-29 16:09:00.000,Return Policy Inquiry
115,11515,2018-04-02 05:15:00.000,Purchase
92,11516,2018-04-16 11:55:00.000,Purchase
92,11516,2018-04-10 22:49:00.000,Store Visit
92,11516,2018-04-10 22:26:00.000,Service Inquiry
59,11519,2018-05-03 21:44:00.000,Service Inquiry
87,11562,2018-04-27 00:24:00.000,Service Inquiry
39,11607,2018-04-06 04:19:00.000,Return Policy Inquiry
44,11647,2018-03-26 02:10:00.000,Store Visit
94,11650,2018-03-30 01:01:00.000,Return Policy Inquiry
94,11650,2018-03-30 01:21:00.000,Store Visit
118,11774,2018-04-27 06:17:00.000,Purchase
118,11774,2018-04-25 22:00:00.000,Store Visit
45,11801,2018-03-29 14:45:00.000,Purchase
45,11822,2018-04-03 14:03:00.000,Purchase
45,11824,2018-04-26 23:25:00.000,Return Policy Inquiry
45,11824,2018-04-25 12:57:00.000,Store Visit
110,11931,2018-03-28 15:34:00.000,Service Inquiry
110,11931,2018-03-27 11:21:00.000,Store Visit
56,11975,2018-04-27 06:32:00.000,Store Visit
45,12030,2018-05-03 01:23:00.000,Return Policy Inquiry
92,12054,2018-04-24 13:09:00.000,Store Visit
92,12054,2018-04-24 13:02:00.000,Return Policy Inquiry
92,12054,2018-04-23 04:18:00.000,Service Inquiry
55,12160,2018-04-13 17:05:00.000,Return Policy Inquiry
55,12160,2018-04-12 12:23:00.000,Store Visit
30,12166,2018-03-30 15:28:00.000,Return Policy Inquiry
30,12166,2018-03-30 15:31:00.000,Store Visit
104,12187,2018-04-29 01:14:00.000,Purchase
115,12190,2018-05-13 21:50:00.000,Store Visit
105,12199,2018-03-23 17:49:00.000,Store Visit
25,12218,2018-04-04 15:09:00.000,Store Visit
25,12218,2018-04-04 15:20:00.000,Purchase
24,12221,2018-05-10 06:54:00.000,Return Policy Inquiry
104,12223,2018-04-04 08:10:00.000,Service Inquiry
104,12223,2018-04-01 10:21:00.000,Store Visit
104,12223,2018-04-05 12:51:00.000,Purchase
105,12236,2018-05-04 10:38:00.000,Store Visit
40,12304,2018-04-09 09:59:00.000,Store Visit
